Testo,Sentimento
film vale nemmeno tempo scrivere recensione.,negativo
"peggior film mai visto, senza dubbio.",negativo
mai visto niente stupido.,negativo
ogni minuto stato emozionante coinvolgente.,positivo
né carne né pesce.,neutro
"film discreto, nulla più.",neutro
"film così così, niente che.",neutro
film merita nemmeno essere commentato.,negativo
dimenticherò mai storia.,positivo
cast stellare film straordinario.,positivo
perdita tempo.,negativo
"film brutto, salvo qualche scena. siamo.",negativo
"fine, né deluso né entusiasmato.",neutro
semplicemente spettacolare!,positivo
davvero emozionante ben fatto.,positivo
capolavoro emozionante unico.,positivo
"mah, carino dimenticabile.",neutro
schifo film! poteva essere peggio.,negativo
merda totale!,negativo
né carne né pesce.,neutro
"mah, carino dimenticabile.",neutro
"capolavoro, nemmeno cagata.",neutro
"film media, saprei cos’altro dire.",neutro
"capolavoro, nemmeno porcheria.",neutro
spettacolo visivo incredibile.,positivo
"film ok, niente speciale.",neutro
consiglierei nessuno.,negativo
"pellicola normale, fa incazzare nemmeno applaudire.",neutro
"mah, film tanti altri, niente che.",neutro
semplicemente spettacolare!,positivo
mix emozioni travolge.,positivo
adoro film!,positivo
semplicemente film tanti altri.,neutro
"molto noioso, perso interesse dopo 10 minuti.",negativo
"capolavoro, nemmeno cagata.",neutro
rovinato buona idea porcata.,negativo
"film lascia vedere, senza pretese.",neutro
capisco possa avere buone recensioni.,negativo
"bomba, nemmeno schifezza.",neutro
"film brutto, salvo qualche scena. siamo.",negativo
bel film.,positivo
migliori storie mai raccontate.,positivo
vero capolavoro cinema moderno.,positivo
un’esperienza cinematografica segna.,positivo
consiglierei nessuno.,negativo
"effetti speciali ridicoli, sembra film anni 80.",negativo
ogni scena curata minimi dettagli.,positivo
"pessimo film, guarderò mai più.",negativo
"fine, né deluso né entusiasmato.",neutro
messaggio film potente ispirante.,positivo
spettacolo visivo incredibile.,positivo
pellicola media.,neutro
film fa riflettere profondamente.,positivo
perdita tempo.,negativo
perla rara panorama cinematografico.,positivo
"film cambium vita, fa nemmeno incazzare.",neutro
semplicemente orribile.,negativo
"lavoro senza grandi difetti, senza grandi pregi.",neutro
